product_id,product_title,rating,total_reviews,price,top_reviews
itm6eb39da622cdd,"Apple iPhone 17 (Black, 256 GB)",4.6,500,82900,No reviews found
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,"7,084",69900,No reviews found
itm0eb31619428e4,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)",4.6,"3,837","51999
7999935% off",No reviews found
